lokasi,tipe,tahun,type,jan,feb,mar,apr,mei,jun,jul,agu,sep,okt,nov,des
PNJ,STO,2022,billing,193.2,195.3,197.6,199.8,201.8,204,208.5,213.2,222,225.5,228.8,232.4
PNJ,STO,2022,sales,35,39,41,38,40,43,42,40,44,46,43,39
PNJ,STO,2022,addon,15,15,16,17,17,18,19,19,21,22,22,23
SKU,STO,2022,lis,2297,2322,2349,2378,2403,2430,2481,2535,2640,2680,2720,2761
SKU,STO,2022,billing,344.6,348.3,352.4,356.7,360.5,364.5,372.2,380.3,396,402,408,414.2
SKU,STO,2022,sales,63,70,72,67,70,77,75,71,79,82,78,70
SKU,STO,2022,addon,27,28,29,30,31,32,33,34,38,39,40,41
BRU,STO,2022,kw1,87,89,88,91,90,92,91,93,93,94,93,91
BRU,STO,2022,kw2,84,86,85,88,87,89,88,90,90,92,91,89
BRU,STO,2022,kw3,81,83,82,85,84,86,85,87,87,89,88,86
BRU,STO,2022,kw4,78,80,79,82,81,83,82,84,85,87,86,84
BRU,STO,2022,pranpc,150,150,150,150,150,150,150,150,150,150,150,150
BRU,STO,2022,c3mr,93,94,93,95,94,95,95,96,96,97,96,95
BAM,STO,2022,kw1,82,84,83,86,85,87,86,88,88,90,89,87
BAM,STO,2022,kw2,79,81,80,83,82,84,83,85,85,87,86,84
BAM,STO,2022,kw3,76,78,77,80,79,81,80,82,82,84,83,81
BAM,STO,2022,kw4,73,75,74,77,76,78,77,79,80,82,81,79
BAM,STO,2022,pranpc,150,149,150,150,150,150,150,150,150,150,150,150
BAM,STO,2022,c3mr,91,92,91,93,92,93,93,94,94,95,94,93
KRO,STO,2022,kw1,81,83,82,85,84,86,85,87,87,89,88,86
KRO,STO,2022,kw2,78,80,79,82,81,83,82,84,84,86,85,83
KRO,STO,2022,kw3,75,77,76,79,78,80,79,81,81,83,82,80
KRO,STO,2022,kw4,72,74,73,76,75,77,76,78,79,81,80,78
KRO,STO,2022,pranpc,150,149,150,150,150,150,150,150,150,149,150,150
KRO,STO,2022,c3mr,91,92,91,92,92,93,92,93,93,94,93,92
BTK,STO,2022,kw1,77,79,78,81,80,82,81,83,83,85,84,82
BTK,STO,2022,kw2,74,76,75,78,77,79,78,80,80,82,81,79
BTK,STO,2022,kw3,71,73,72,75,74,76,75,77,77,79,78,76
BTK,STO,2022,kw4,68,70,69,72,71,73,72,74,75,77,76,74
BTK,STO,2022,pranpc,149,149,149,150,150,150,150,150,149,150,149,149
BTK,STO,2022,c3mr,89,90,89,91,90,91,91,92,92,93,92,91
BTK,HERO,2022,kw1,75,77,76,79,78,80,79,81,81,83,82,80
BTK,HERO,2022,kw2,72,74,73,76,75,77,76,78,78,80,79,77
BTK,HERO,2022,kw3,69,71,70,73,72,74,73,75,75,77,76,74
BTK,HERO,2022,kw4,66,68,67,70,69,71,70,72,73,75,74,72
BTK,HERO,2022,pranpc,148,149,149,149,149,149,149,149,149,149,149,149
BTK,HERO,2022,c3mr,88,89,88,90,89,90,90,91,91,92,91,90
MKM,STO,2022,kw1,88,90,89,92,91,93,92,94,94,95,94,92
MKM,STO,2022,kw2,85,87,86,89,88,90,89,91,91,93,92,90
MKM,STO,2022,kw3,82,84,83,86,85,87,86,88,88,90,89,87
MKM,STO,2022,kw4,79,81,80,83,82,84,83,85,86,88,87,85
MKM,STO,2022,pranpc,150,150,151,150,150,151,151,150,151,150,150,151
MKM,STO,2022,c3mr,94,95,94,96,95,96,96,97,97,98,97,96
KJN,STO,2022,kw1,82,84,83,86,85,87,86,88,88,90,89,87
KJN,STO,2022,kw2,79,81,80,83,82,84,83,85,85,87,86,84
KJN,STO,2022,kw3,76,78,77,80,79,81,80,82,82,84,83,81
KJN,STO,2022,kw4,73,75,74,77,76,78,77,79,80,82,81,79
KJN,STO,2022,pranpc,150,149,150,150,150,150,150,150,150,150,149,150
KJN,STO,2022,c3mr,91,92,91,93,92,93,93,94,94,95,94,93
KJN,HERO,2022,kw1,75,77,76,79,78,80,79,81,81,83,82,80
KJN,HERO,2022,kw2,72,74,73,76,75,77,76,78,78,80,79,77
KJN,HERO,2022,kw3,69,71,70,73,72,74,73,75,75,77,76,74
KJN,HERO,2022,kw4,66,68,67,70,69,71,70,72,73,75,74,72
KJN,HERO,2022,pranpc,148,148,149,149,149,149,149,149,148,149,148,149
KJN,HERO,2022,c3mr,88,89,88,90,89,90,90,91,91,92,91,90
PTG,STO,2022,kw1,77,79,78,81,80,82,81,83,82,85,84,82
PTG,STO,2022,kw2,74,76,75,78,77,79,78,80,79,82,81,79
PTG,STO,2022,kw3,71,73,72,75,74,76,75,77,76,79,78,76
PTG,STO,2022,kw4,68,70,69,72,71,73,72,74,74,77,75,73
PTG,STO,2022,pranpc,149,149,149,150,150,150,150,150,149,149,149,150
PTG,STO,2022,c3mr,89,90,89,91,90,91,91,92,91,93,92,91
LAB,STO,2022,kw1,80,82,81,84,83,85,84,86,86,88,87,85
LAB,STO,2022,kw2,77,79,78,81,80,82,81,83,83,85,84,82
LAB,STO,2022,kw3,74,76,75,78,77,79,78,80,80,82,81,79
LAB,STO,2022,kw4,71,73,72,75,74,76,75,77,78,80,79,77
LAB,STO,2022,pranpc,149,149,150,150,150,150,150,150,149,150,149,150
LAB,STO,2022,c3mr,90,91,90,92,91,92,92,93,93,94,93,92
LIK,STO,2022,kw1,82,84,83,86,85,87,86,88,88,90,89,87
LIK,STO,2022,kw2,79,81,80,83,82,84,83,85,85,87,86,84
LIK,STO,2022,kw3,76,78,77,80,79,81,80,82,82,84,83,81
LIK,STO,2022,kw4,73,75,74,77,76,78,77,79,80,82,81,79
LIK,STO,2022,pranpc,150,149,150,150,150,150,150,150,150,150,149,150
LIK,STO,2022,c3mr,91,92,91,93,92,93,93,94,94,95,94,93
MGG,STO,2022,kw1,77,79,78,81,80,82,81,83,82,85,84,82
MGG,STO,2022,kw2,74,76,75,78,77,79,78,80,79,82,81,79
MGG,STO,2022,kw3,71,73,72,75,74,76,75,77,76,79,78,76
MGG,STO,2022,kw4,68,70,69,72,71,73,72,74,74,77,75,73
MGG,STO,2022,pranpc,149,149,149,150,149,150,150,150,149,150,149,149
MGG,STO,2022,c3mr,89,90,89,91,90,91,91,92,91,93,92,91
MJW,STO,2022,kw1,80,82,81,84,83,85,84,86,85,88,87,85
MJW,STO,2022,kw2,77,79,78,81,80,82,81,83,82,85,84,82
MJW,STO,2022,kw3,74,76,75,78,77,79,78,80,79,82,81,79
MJW,STO,2022,kw4,71,73,72,75,74,76,75,77,77,80,79,77
MJW,STO,2022,pranpc,149,149,150,150,150,149,150,150,149,150,149,150
MJW,STO,2022,c3mr,90,91,90,92,91,92,92,93,92,94,93,92
PNJ,STO,2022,kw1,81,83,82,85,84,86,85,87,87,89,88,86
PNJ,STO,2022,kw2,78,80,79,82,81,83,82,84,84,86,85,83
PNJ,STO,2022,kw3,75,77,76,79,78,80,79,81,81,83,82,80
PNJ,STO,2022,kw4,72,74,73,76,75,77,76,78,79,81,80,78
PNJ,STO,2022,pranpc,150,149,150,150,150,150,150,149,150,150,149,150
PNJ,STO,2022,c3mr,91,92,91,92,92,93,92,93,93,94,93,92
SKU,STO,2022,kw1,87,89,88,91,90,92,91,93,92,94,93,91
SKU,STO,2022,kw2,84,86,85,88,87,89,88,90,89,92,91,89
SKU,STO,2022,kw3,81,83,82,85,84,86,85,87,86,89,88,86
SKU,STO,2022,kw4,78,80,79,82,81,83,82,84,83,87,85,83
SKU,STO,2022,pranpc,150,150,150,150,150,150,150,150,150,150,150,150
SKU,STO,2022,c3mr,93,94,93,95,94,95,95,96,95,97,96,95
