lokasi,tipe,latitude,longitude
LIK,STO,-1.2523,116.8704
LIK,STO,-1.2499,116.8539
LIK,STO,-1.2494,116.8567
LIK,STO,-1.2498,116.8594
LIK,STO,-1.2494,116.8622
LIK,STO,-1.2497,116.8649
LIK,STO,-1.2500,116.8677
LIK,STO,-1.2495,116.8705
MJW,STO,-1.2977,116.8049
MJW,STO,-1.2972,116.8077
MJW,STO,-1.2976,116.8104
MJW,STO,-1.2971,116.8132
MJW,STO,-1.2974,116.8160
MJW,STO,-1.2977,116.8187
MJW,STO,-1.2973,116.8216
MJW,STO,-1.2949,116.8048
MJW,STO,-1.2944,116.8076
MJW,STO,-1.2948,116.8103
MJW,STO,-1.2944,116.8131
MJW,STO,-1.2947,116.8159
MJW,STO,-1.2950,116.8187
MJW,STO,-1.2945,116.8216
MJW,STO,-1.2921,116.8049
MJW,STO,-1.2916,116.8077
MJW,STO,-1.2920,116.8104
MJW,STO,-1.2916,116.8132
MJW,STO,-1.2919,116.8160
MJW,STO,-1.2922,116.8187
MJW,STO,-1.2917,116.8215
MJW,STO,-1.2893,116.8048
MJW,STO,-1.2888,116.8076
MJW,STO,-1.2892,116.8103
MJW,STO,-1.2888,116.8131
MJW,STO,-1.2891,116.8158
MJW,STO,-1.2894,116.8186
MJW,STO,-1.2889,116.8214
MJW,STO,-1.2865,116.8049
MJW,STO,-1.2860,116.8077
MJW,STO,-1.2864,116.8104
MJW,STO,-1.2860,116.8132
MJW,STO,-1.2863,116.8159
MJW,STO,-1.2866,116.8187
MJW,STO,-1.2861,116.8215
MJW,STO,-1.2837,116.8048
MJW,STO,-1.2832,116.8076
MJW,STO,-1.2836,116.8103
MJW,STO,-1.2832,116.8131
MJW,STO,-1.2835,116.8158
MJW,STO,-1.2838,116.8186
MJW,STO,-1.2833,116.8214
MJW,STO,-1.2809,116.8049
MJW,STO,-1.2804,116.8077
MJW,STO,-1.2808,116.8104
MJW,STO,-1.2804,116.8132
MJW,STO,-1.2807,116.8159
MJW,STO,-1.2810,116.8187
MJW,STO,-1.2805,116.8215
PNJ,STO,-1.2597,116.8299
PNJ,STO,-1.2592,116.8327
PNJ,STO,-1.2596,116.8354
PNJ,STO,-1.2591,116.8382
PNJ,STO,-1.2594,116.8410
PNJ,STO,-1.2597,116.8437
PNJ,STO,-1.2593,116.8466
PNJ,STO,-1.2569,116.8298
PNJ,STO,-1.2564,116.8326
PNJ,STO,-1.2568,116.8353
PNJ,STO,-1.2564,116.8381
PNJ,STO,-1.2567,116.8409
PNJ,STO,-1.2570,116.8437
PNJ,STO,-1.2565,116.8466
PNJ,STO,-1.2541,116.8299
PNJ,STO,-1.2536,116.8327
PNJ,STO,-1.2540,116.8354
PNJ,STO,-1.2536,116.8382
PNJ,STO,-1.2539,116.8410
PNJ,STO,-1.2542,116.8437
PNJ,STO,-1.2537,116.8465
PNJ,STO,-1.2513,116.8298
PNJ,STO,-1.2508,116.8326
PNJ,STO,-1.2512,116.8353
PNJ,STO,-1.2508,116.8381
PNJ,STO,-1.2511,116.8408
PNJ,STO,-1.2514,116.8436
PNJ,STO,-1.2509,116.8464
PNJ,STO,-1.2485,116.8299
PNJ,STO,-1.2480,116.8327
PNJ,STO,-1.2484,116.8354
PNJ,STO,-1.2480,116.8382
PNJ,STO,-1.2483,116.8409
PNJ,STO,-1.2486,116.8437
PNJ,STO,-1.2481,116.8465
PNJ,STO,-1.2457,116.8298
PNJ,STO,-1.2452,116.8326
PNJ,STO,-1.2456,116.8353
PNJ,STO,-1.2452,116.8381
PNJ,STO,-1.2455,116.8408
PNJ,STO,-1.2458,116.8436
PNJ,STO,-1.2453,116.8464
PNJ,STO,-1.2429,116.8299
PNJ,STO,-1.2424,116.8327
PNJ,STO,-1.2428,116.8354
PNJ,STO,-1.2424,116.8382
PNJ,STO,-1.2427,116.8409
PNJ,STO,-1.2430,116.8437
PNJ,STO,-1.2425,116.8465
BTK,STO,-1.268700,116.825700
BTK,STO,-1.262800,116.841800
BTK,STO,-1.248600,116.845000
BTK,STO,-1.248400,116.839600
BTK,STO,-1.257800,116.875200
BTK,HERO,-1.267500,116.835200
BTK,HERO,-1.244500,116.870500
BTK,HERO,-1.257000,116.842000
BTK,HERO,-1.266000,116.828500
BTK,HERO,-1.265400,116.827600
KJN,HERO,-1.253200,116.858900
KJN,HERO,-1.248800,116.847800
KJN,HERO,-1.251200,116.859200
KJN,HERO,-1.250500,116.854000
KJN,HERO,-1.154000,116.820000
PTG,STO,-1.2533,116.8192
PTG,STO,-1.2528,116.8222
PTG,STO,-1.2532,116.8250
PTG,STO,-1.2527,116.8281
PTG,STO,-1.2530,116.8310
PTG,STO,-1.2503,116.8191
PTG,STO,-1.2498,116.8221
PTG,STO,-1.2502,116.8249
PTG,STO,-1.2498,116.8280
PTG,STO,-1.2501,116.8309
PTG,STO,-1.2473,116.8192
PTG,STO,-1.2468,116.8222
PTG,STO,-1.2472,116.8250
PTG,STO,-1.2467,116.8281
PTG,STO,-1.2470,116.8310
PTG,STO,-1.2443,116.8191
PTG,STO,-1.2438,116.8221
PTG,STO,-1.2442,116.8249
PTG,STO,-1.2438,116.8280
PTG,STO,-1.2441,116.8309
PTG,STO,-1.2413,116.8192
PTG,STO,-1.2408,116.8222
PTG,STO,-1.2412,116.8250
PTG,STO,-1.2407,116.8281
PTG,STO,-1.2410,116.8310
MGG,STO,-1.2803,116.7912
MGG,STO,-1.2798,116.7942
MGG,STO,-1.2802,116.7970
MGG,STO,-1.2797,116.8001
MGG,STO,-1.2800,116.8030
MGG,STO,-1.2773,116.7911
MGG,STO,-1.2768,116.7941
MGG,STO,-1.2772,116.7969
MGG,STO,-1.2768,116.8000
MGG,STO,-1.2771,116.8029
MGG,STO,-1.2743,116.7912
MGG,STO,-1.2738,116.7942
MGG,STO,-1.2742,116.7970
MGG,STO,-1.2737,116.8001
MGG,STO,-1.2740,116.8030
MGG,STO,-1.2713,116.7911
MGG,STO,-1.2708,116.7941
MGG,STO,-1.2712,116.7969
MGG,STO,-1.2708,116.8000
MGG,STO,-1.2711,116.8029
MGG,STO,-1.2683,116.7912
MGG,STO,-1.2678,116.7942
MGG,STO,-1.2682,116.7970
MGG,STO,-1.2677,116.8001
MGG,STO,-1.2680,116.8030
